ORF,AA13vAA17_3D7,AA13vAS15_3D7,AA13vAS16_3D7,AA17vAS15_3D7,AA17vAS16_3D7,AS15vAS16_3D7,AAvAS_mean
PF3D7_1432100,1.0448312722175703,1.2838045813664187,3.2037018911757644,1.8084414689004904,3.743934988572902,2.6215517216340345,2.509970732503894
PF3D7_1211800,1.0744380855740685,1.5285552401355549,3.4544889950784152,1.5447878663991141,3.543239165010257,3.0386869051310015,2.5177678166558355
PF3D7_1317200,1.0678082639976567,1.8388212120086351,3.18463935696468,1.6882949248788808,3.408512840245147,2.3232002704998025,2.530067083524336
PF3D7_1321700,1.123218371449658,1.215499732123686,3.8204592348071698,0.9197445032302656,4.199457397653462,3.9035256150110715,2.538790216953646
PF3D7_1002200,1.2402682675469368,1.793396679495426,3.381488805487356,1.4750173752012523,3.5159748800167967,2.571045880344141,2.541469435050208
PF3D7_1212500,0.8325765504949143,1.5359139206956902,3.769540117293989,1.196945129118971,3.9127562898369592,3.3807952099232548,2.6037888642364018
PF3D7_0814000,0.9075551486118532,1.3428698542720343,3.9072009335429696,1.498167568741436,3.67897525305834,3.6500676737094446,2.6068034024036946
PF3D7_0418300,0.6355871623359608,0.9530275756101436,4.209800481271111,1.1091103519161534,4.355436941780331,3.968994279974823,2.656843837644435
PF3D7_1214300,1.1393224446096641,1.8920088029550408,3.4918889118382537,1.6102485942648952,3.647918285887639,3.481805949129116,2.6605161487364573
PF3D7_1349900,1.0151087597500288,2.058485682968465,3.2574244724185752,1.6965170046723557,3.6407622135102793,3.613549191279221,2.663297343392419
PF3D7_1026600,1.3125510869752937,1.8058375062547087,3.6972699890994303,1.4548959452951928,3.8446492691997673,2.9566465977929868,2.7006631774622747
PF3D7_1360200,1.171855652091717,1.2237338906019646,3.9181276237693887,1.6162305736270348,4.063298070191355,3.753219551931581,2.7053475395474362
PF3D7_0605100,1.2804122966703293,1.7248292075182827,3.910281744063569,1.199439987386126,4.005750919974807,3.531791191396945,2.710075464735696
PF3D7_1331500,0.9306252099297242,2.1990296965670315,3.3282536454125107,2.0015996736178367,3.472142921631652,2.2989957334627538,2.7502564843072577
PF3D7_1212700,1.3681086886039928,1.2083436449916007,3.9987938443163538,1.6412773772312237,4.189796495512579,3.72635871666478,2.7595528405129395
PF3D7_0623500,1.2212596163500498,1.9803788045407824,4.059523193550594,1.2741256296146797,3.7387292345862937,3.470528112313617,2.7631892155730866
PF3D7_0422900,0.6049207194306553,2.9648328553185403,2.844545355247118,2.667912790567547,2.6387858187629543,0.8035064501390327,2.77901920497404
PF3D7_1203900,1.0819762882512398,2.170299558565462,3.6221924775790586,1.653898365910898,3.686599171818569,3.810609654477197,2.7832473934684967
PF3D7_1235100,1.0144866696638568,1.6473023036065757,3.6883167278388487,1.9127539147198451,3.9021459767143267,4.2331022947604575,2.7876297307198987
PF3D7_1112000,1.3242246457491187,2.637258408897071,2.5136593934374503,2.7755675800066384,3.2744091860212534,1.916074640832732,2.8002236420906037
PF3D7_0304100,0.7588941558674153,2.282108724794417,3.001379791065588,2.5823502348806784,3.356879845816686,1.2609587396957809,2.8056796491393428
PF3D7_0818000,1.2406388519655331,1.817825855922596,4.009017069784236,1.3126124295621784,4.127395453778028,4.37138464375462,2.81671270226176
PF3D7_1114200,1.2769105638329157,2.7297336069035905,2.9804791728911795,2.474150429420995,3.1641058266245286,2.4370020884127883,2.837117258960073
PF3D7_1004300,1.2117892079509978,1.3867444968997849,4.309854505811448,1.2527311327445283,4.536234033527215,3.847015441947795,2.871391042245744
PF3D7_1021400,1.129569975235668,2.134786872973164,4.1379315022013285,1.4187654291761065,3.803615622669488,3.555592782531925,2.8737748567550216
PF3D7_0415400,1.3328156951597876,3.4745012586771424,3.187193792822636,2.529459497228341,2.380572617999824,2.2999179543111707,2.8929317916819866
PF3D7_1303400,1.4198587576499688,1.9113847651711573,3.7391837330905684,1.864321963165984,4.062609955065295,3.0967535862376803,2.8943751041232515
PF3D7_1022400,1.2743498244018898,1.877839003200708,4.336158989227874,1.0384175554606216,4.3597271258695685,4.272014572806927,2.9030356684396934
PF3D7_0906600,1.4970724827316608,2.5108328832419926,2.9970999502979763,2.8485065938779712,3.6204965414788246,2.3048478413707105,2.9942339922241916
PF3D7_0323800,1.5157573237130584,2.608187200584061,3.2222158661751674,2.916398879160852,3.5046543958521394,3.166762936187293,3.0628640854430547
PF3D7_1321900,1.3426916007202967,2.5568216944399627,3.5842799746719534,2.6016941724536093,3.5368865512655763,2.4714793392178884,3.0699205982077755
PF3D7_1405700,1.4037844793603256,2.776207889194747,3.477427469585982,2.464140418763937,3.635677036139261,2.3683342662937488,3.0883632034209816
PF3D7_1126700,0.8632721604500981,2.228056115301447,3.7483459957226617,2.373619587264036,4.05142936859829,2.161020425213116,3.1003627667216085
PF3D7_0209800,1.484606643258209,2.9485041509572043,3.1705582561185994,2.767451801378954,3.5898046821750444,3.669590824326478,3.1190797226574505
PF3D7_1114100.1,1.4487048788401466,2.303502994449639,3.77853443568703,2.300160456570199,4.248858473745192,2.921710860466263,3.157764090113015
PF3D7_1428100,1.4375768655530543,3.618019007543493,2.957729991107576,3.3054023957980014,2.8577970563250528,2.983405108921509,3.1847371126935307
PF3D7_1207800,1.3866508735521133,1.92365594103128,4.272950325328522,2.012427392644009,4.659413183919106,3.7682543425649353,3.217111710730729
PF3D7_1401900,0.5609734217910018,2.4195434053215865,4.143181557861244,2.1857558080303074,4.151349110553328,2.63453916963803,3.2249574704416166
PF3D7_0813300,1.2519309760704975,1.7228540547514464,5.016469996989437,1.3091652024925642,4.9385664957653095,4.277521409389535,3.246763937499689
PF3D7_1358100,1.5434488653714968,2.1045760286646464,4.508379389037085,1.6827267416850515,4.703758851611301,4.058062625140457,3.2498602527495217
PF3D7_0403200,1.3112589198276958,2.1615345317426566,4.595820117566472,1.6232245949181487,4.620577643414336,3.997479999432553,3.250289221910404
PF3D7_1307500,1.1421727170134688,2.91350285188465,2.8698439639736617,3.7257104913360735,3.54911683054592,2.581309019155642,3.2645435344350764
PF3D7_1251800,1.4271887679411166,3.667862233314732,3.3216167158269427,3.0129355918702365,3.121035669208004,3.7598933473481333,3.2808625525549786
PF3D7_1225200,1.6417146896893555,2.8812270864534515,3.945396587135829,2.115655874209157,4.379596739688276,3.892820474850101,3.3304690718716783
PF3D7_1476500,1.2345792633170192,2.435042577133489,4.279614192733066,2.2935952759311395,4.635026091461547,3.235880998234124,3.41081953431481
PF3D7_1336700,1.420873332714046,1.8522545833218511,5.362811491531649,1.002172692718062,5.568894469506468,5.3617085964154985,3.4465333092695074
PF3D7_0925900,1.7289231578660778,3.8640257055577183,3.174099113572935,3.5840195738837783,3.239027327515453,1.8463966113677936,3.4652929301324713
PF3D7_1407300,1.5729772944700924,1.889597086292472,5.276733961958398,1.4988941429068057,5.336303412808321,5.011511979420709,3.5003821509914994
PF3D7_1327300,1.7004225004879026,2.717612390122124,4.124299302497477,2.9027075711858283,4.517650820102845,2.448492090683798,3.5655675209770683
PF3D7_1251600,1.4690328768115706,2.9241793061449424,4.46387368477408,2.388313628711122,4.499665231250457,3.6675073944332057,3.5690079627201503
PF3D7_0818500,1.3818950724053594,3.339844071862017,3.776293656841008,3.0708381963843325,4.165328069086076,2.3081655557834955,3.5880759985433586
PF3D7_0911900,1.7893580923867998,3.5842117075116264,3.994185836610239,3.0187389067947663,3.765197593684352,2.5599167735575548,3.5905835111502458
PF3D7_1146900,1.5113189151977986,2.593250521174157,5.032276841593851,1.794745711715835,5.016748091036551,4.4447937519130605,3.6092552913800984
PF3D7_1458100,1.5099200471988017,3.912228599170757,3.31387720866905,3.842146622398084,3.424641175825985,2.885645731008743,3.623223401515969
PF3D7_1366900,1.4221121048084968,2.7037563246629293,4.914542909851824,2.000268358614824,4.89449197774687,4.662629754580316,3.628264892719112
PF3D7_0311500,1.6038821795978877,3.623084590559394,2.928323876737688,4.43360758156091,4.001260681279041,1.8140509334534656,3.7465691825342584
PF3D7_1129100,1.9402365793049148,4.080265507161877,4.567092104701351,3.2787082450000296,4.0832855879243235,2.481793801779564,4.002337861196897
PF3D7_0402400,1.773844431284886,3.9781455503287457,4.114210108153898,3.720400344638695,4.363850298299672,2.483690469135984,4.0441515753552535
PF3D7_1411000.2,0.7035225028549861,3.011396637942967,4.9827694152241175,3.244194623224029,5.07515072455044,3.526100678354417,4.0783778502353885
PF3D7_0703500,1.9213222751884842,3.383356325368907,4.660257090419812,3.2256755012666485,5.234866817939117,3.9175007546767753,4.126038933748621
PF3D7_1330800,1.8709508664744752,3.1417140883863364,5.397278905858408,2.889027025019027,5.631782295734805,3.7918482535952838,4.2649505787496444
PF3D7_1216900,2.129506092016332,4.345256911709123,5.115797438370407,3.3412730936953343,5.689006019274411,4.2487823355927254,4.622833365762318
